dataset,combination,gamma,run,accuracy,tree_depth,training_time
iris,tsallis_polarization,0.1,0,0.8666666666666667,5,0.10418939590454102
iris,tsallis_polarization,0.1,1,0.9111111111111111,5,0.13062214851379395
iris,tsallis_polarization,0.1,2,0.9555555555555556,4,0.1221923828125
iris,tsallis_polarization,0.2,0,0.8666666666666667,5,0.1132657527923584
iris,tsallis_polarization,0.2,1,0.9777777777777777,5,0.12261319160461426
iris,tsallis_polarization,0.2,2,0.9555555555555556,4,0.10484838485717773
iris,tsallis_polarization,0.3,0,0.9111111111111111,5,0.10390663146972656
iris,tsallis_polarization,0.3,1,0.9777777777777777,5,0.1336069107055664
iris,tsallis_polarization,0.3,2,0.9555555555555556,4,0.10821104049682617
iris,tsallis_polarization,0.4,0,0.9111111111111111,5,0.1044309139251709
iris,tsallis_polarization,0.4,1,0.9777777777777777,5,0.138474702835083
iris,tsallis_polarization,0.4,2,0.9555555555555556,5,0.11060214042663574
iris,tsallis_polarization,0.5,0,0.9333333333333333,6,0.09464573860168457
iris,tsallis_polarization,0.5,1,0.9777777777777777,5,0.12034058570861816
iris,tsallis_polarization,0.5,2,0.9555555555555556,5,0.10609054565429688
iris,tsallis_polarization,0.6,0,0.9333333333333333,6,0.0948629379272461
iris,tsallis_polarization,0.6,1,0.9555555555555556,6,0.1227579116821289
iris,tsallis_polarization,0.6,2,0.9555555555555556,4,0.09143185615539551
iris,tsallis_polarization,0.7,0,0.9333333333333333,6,0.09434056282043457
iris,tsallis_polarization,0.7,1,0.9555555555555556,6,0.12706255912780762
iris,tsallis_polarization,0.7,2,0.9555555555555556,4,0.09222221374511719
iris,tsallis_polarization,0.8,0,0.9333333333333333,6,0.09397006034851074
iris,tsallis_polarization,0.8,1,0.9555555555555556,6,0.12284660339355469
iris,tsallis_polarization,0.8,2,0.9555555555555556,4,0.0914149284362793
iris,tsallis_polarization,0.9,0,0.9333333333333333,6,0.09649252891540527
iris,tsallis_polarization,0.9,1,0.9555555555555556,6,0.12314891815185547
iris,tsallis_polarization,0.9,2,0.9555555555555556,4,0.09168696403503418
iris,shannon_polarization,0.1,0,0.8666666666666667,5,0.10393548011779785
iris,shannon_polarization,0.1,1,0.9111111111111111,5,0.11781501770019531
iris,shannon_polarization,0.1,2,0.9555555555555556,4,0.11115026473999023
iris,shannon_polarization,0.2,0,0.8666666666666667,5,0.10351967811584473
iris,shannon_polarization,0.2,1,0.9777777777777777,5,0.12297916412353516
iris,shannon_polarization,0.2,2,0.9555555555555556,4,0.10506653785705566
iris,shannon_polarization,0.3,0,0.9111111111111111,5,0.10634756088256836
iris,shannon_polarization,0.3,1,0.9777777777777777,5,0.12108683586120605
iris,shannon_polarization,0.3,2,0.9555555555555556,4,0.10496807098388672
iris,shannon_polarization,0.4,0,0.9111111111111111,5,0.10417795181274414
