dataset,metric,run,accuracy,tree_depth,tree_size,training_time,category
iris,gini,0,0.9111111111111111,5,15,0.07504773139953613,reference
iris,shannon,0,0.9333333333333333,6,15,0.08167767524719238,reference
iris,tsallis_1.3,0,0.9333333333333333,6,15,0.07806682586669922,reference
iris,js_divergence,0,0.3333333333333333,0,1,0.0006797313690185547,reference
iris,itc,0,0.9111111111111111,5,15,0.12408709526062012,hybrid
iris,itc_alpha1.3,0,0.9333333333333333,6,15,0.11289644241333008,hybrid
iris,itc_alpha1.7,0,0.9111111111111111,5,15,0.12168407440185547,hybrid
iris,shannon_polarization,0,0.9333333333333333,6,15,0.11917805671691895,hybrid
iris,tsallis_hellinger,0,0.9111111111111111,5,15,0.15547513961791992,hybrid
iris,gini,1,0.9555555555555556,6,19,0.07932233810424805,reference
iris,shannon,1,0.9777777777777777,6,17,0.07668089866638184,reference
iris,tsallis_1.3,1,0.9555555555555556,6,19,0.10165667533874512,reference
iris,js_divergence,1,0.3333333333333333,0,1,0.0005090236663818359,reference
iris,itc,1,0.9777777777777777,5,15,0.14158225059509277,hybrid
iris,itc_alpha1.3,1,0.9777777777777777,5,15,0.13138532638549805,hybrid
iris,itc_alpha1.7,1,0.9777777777777777,5,15,0.13862323760986328,hybrid
iris,shannon_polarization,1,0.9555555555555556,6,19,0.13541388511657715,hybrid
iris,tsallis_hellinger,1,0.9777777777777777,5,15,0.1808152198791504,hybrid
iris,gini,2,0.9555555555555556,4,13,0.061167001724243164,reference
iris,shannon,2,0.9555555555555556,4,13,0.06258058547973633,reference
iris,tsallis_1.3,2,0.9555555555555556,4,13,0.06941747665405273,reference
iris,js_divergence,2,0.3333333333333333,0,1,0.0005841255187988281,reference
iris,itc,2,0.9555555555555556,4,11,0.10959005355834961,hybrid
iris,itc_alpha1.3,2,0.9555555555555556,4,11,0.11570310592651367,hybrid
iris,itc_alpha1.7,2,0.9555555555555556,4,11,0.11081671714782715,hybrid
iris,shannon_polarization,2,0.9555555555555556,4,13,0.11513519287109375,hybrid
iris,tsallis_hellinger,2,0.9555555555555556,5,15,0.1528162956237793,hybrid
iris,gini,3,0.8444444444444444,4,11,0.05374503135681152,reference
iris,shannon,3,0.8444444444444444,4,11,0.06069350242614746,reference
iris,tsallis_1.3,3,0.8444444444444444,4,11,0.06959033012390137,reference
iris,js_divergence,3,0.3333333333333333,0,1,0.0006356239318847656,reference
iris,itc,3,0.8444444444444444,4,11,0.10353350639343262,hybrid
iris,itc_alpha1.3,3,0.8444444444444444,4,11,0.10837554931640625,hybrid
iris,itc_alpha1.7,3,0.8444444444444444,4,11,0.08937215805053711,hybrid
