dataset,metric,alpha,beta,gamma,run,accuracy,tree_depth,tree_size,training_time
iris,itc_alpha1.0_beta2.0_gamma0.1,1.0,2.0,0.1,0,0.8666666666666667,5,13,0.12595248222351074
iris,itc_alpha1.0_beta2.0_gamma0.1,1.0,2.0,0.1,1,1.0,5,17,0.14682316780090332
iris,itc_alpha1.0_beta2.0_gamma0.1,1.0,2.0,0.1,2,0.9555555555555556,4,11,0.10737180709838867
iris,itc_alpha1.0_beta2.0_gamma0.2,1.0,2.0,0.2,0,0.9111111111111111,5,15,0.1260368824005127
iris,itc_alpha1.0_beta2.0_gamma0.2,1.0,2.0,0.2,1,0.9777777777777777,5,15,0.14206838607788086
iris,itc_alpha1.0_beta2.0_gamma0.2,1.0,2.0,0.2,2,0.9555555555555556,4,11,0.10767173767089844
iris,itc_alpha1.0_beta2.0_gamma0.3,1.0,2.0,0.3,0,0.9333333333333333,6,15,0.11370491981506348
iris,itc_alpha1.0_beta2.0_gamma0.3,1.0,2.0,0.3,1,0.9777777777777777,5,15,0.1316978931427002
iris,itc_alpha1.0_beta2.0_gamma0.3,1.0,2.0,0.3,2,0.9555555555555556,5,15,0.11415266990661621
iris,itc_alpha1.0_beta2.0_gamma0.4,1.0,2.0,0.4,0,0.9333333333333333,6,15,0.11817646026611328
iris,itc_alpha1.0_beta2.0_gamma0.4,1.0,2.0,0.4,1,0.9555555555555556,6,19,0.13214921951293945
iris,itc_alpha1.0_beta2.0_gamma0.4,1.0,2.0,0.4,2,0.9555555555555556,4,13,0.09315729141235352
iris,itc_alpha1.0_beta2.0_gamma0.5,1.0,2.0,0.5,0,0.9333333333333333,6,15,0.11019611358642578
iris,itc_alpha1.0_beta2.0_gamma0.5,1.0,2.0,0.5,1,0.9555555555555556,6,19,0.12851786613464355
iris,itc_alpha1.0_beta2.0_gamma0.5,1.0,2.0,0.5,2,0.9555555555555556,4,13,0.09274649620056152
iris,itc_alpha1.0_beta2.0_gamma0.6,1.0,2.0,0.6,0,0.9333333333333333,6,15,0.1043248176574707
iris,itc_alpha1.0_beta2.0_gamma0.6,1.0,2.0,0.6,1,0.9777777777777777,6,17,0.11619758605957031
iris,itc_alpha1.0_beta2.0_gamma0.6,1.0,2.0,0.6,2,0.9555555555555556,4,13,0.09405183792114258
iris,itc_alpha1.0_beta2.0_gamma0.7,1.0,2.0,0.7,0,0.9333333333333333,6,15,0.10806512832641602
iris,itc_alpha1.0_beta2.0_gamma0.7,1.0,2.0,0.7,1,0.9777777777777777,6,17,0.11506915092468262
iris,itc_alpha1.0_beta2.0_gamma0.7,1.0,2.0,0.7,2,0.9555555555555556,4,13,0.09231734275817871
iris,itc_alpha1.0_beta2.5_gamma0.1,1.0,2.5,0.1,0,0.8666666666666667,5,13,0.12047934532165527
iris,itc_alpha1.0_beta2.5_gamma0.1,1.0,2.5,0.1,1,0.9777777777777777,5,17,0.14231300354003906
iris,itc_alpha1.0_beta2.5_gamma0.1,1.0,2.5,0.1,2,0.9555555555555556,4,11,0.10818696022033691
iris,itc_alpha1.0_beta2.5_gamma0.2,1.0,2.5,0.2,0,0.9333333333333333,5,13,0.10215997695922852
iris,itc_alpha1.0_beta2.5_gamma0.2,1.0,2.5,0.2,1,0.9777777777777777,5,15,0.12619590759277344
iris,itc_alpha1.0_beta2.5_gamma0.2,1.0,2.5,0.2,2,0.9555555555555556,4,11,0.10564327239990234
iris,itc_alpha1.0_beta2.5_gamma0.3,1.0,2.5,0.3,0,0.9333333333333333,6,15,0.09988951683044434
iris,itc_alpha1.0_beta2.5_gamma0.3,1.0,2.5,0.3,1,0.9777777777777777,5,15,0.12283897399902344
iris,itc_alpha1.0_beta2.5_gamma0.3,1.0,2.5,0.3,2,0.9555555555555556,5,15,0.10706257820129395
iris,itc_alpha1.0_beta2.5_gamma0.4,1.0,2.5,0.4,0,0.9333333333333333,6,15,0.10008358955383301
iris,itc_alpha1.0_beta2.5_gamma0.4,1.0,2.5,0.4,1,0.9555555555555556,6,19,0.1255505084991455
iris,itc_alpha1.0_beta2.5_gamma0.4,1.0,2.5,0.4,2,0.9555555555555556,4,13,0.09154081344604492
iris,itc_alpha1.0_beta2.5_gamma0.5,1.0,2.5,0.5,0,0.9333333333333333,6,15,0.10105443000793457
iris,itc_alpha1.0_beta2.5_gamma0.5,1.0,2.5,0.5,1,0.9555555555555556,6,19,0.12781476974487305
iris,itc_alpha1.0_beta2.5_gamma0.5,1.0,2.5,0.5,2,0.9555555555555556,4,13,0.09676313400268555
iris,itc_alpha1.0_beta2.5_gamma0.6,1.0,2.5,0.6,0,0.9333333333333333,6,15,0.10992836952209473
iris,itc_alpha1.0_beta2.5_gamma0.6,1.0,2.5,0.6,1,0.9777777777777777,6,17,0.12151741981506348
iris,itc_alpha1.0_beta2.5_gamma0.6,1.0,2.5,0.6,2,0.9555555555555556,4,13,0.0916585922241211
iris,itc_alpha1.0_beta2.5_gamma0.7,1.0,2.5,0.7,0,0.9333333333333333,6,15,0.09644699096679688
iris,itc_alpha1.0_beta2.5_gamma0.7,1.0,2.5,0.7,1,0.9777777777777777,6,17,0.11520195007324219
iris,itc_alpha1.0_beta2.5_gamma0.7,1.0,2.5,0.7,2,0.9555555555555556,4,13,0.09177923202514648
iris,itc_alpha1.0_beta3.0_gamma0.1,1.0,3.0,0.1,0,0.8666666666666667,5,13,0.10726809501647949
iris,itc_alpha1.0_beta3.0_gamma0.1,1.0,3.0,0.1,1,0.9777777777777777,5,17,0.12679123878479004
iris,itc_alpha1.0_beta3.0_gamma0.1,1.0,3.0,0.1,2,0.9555555555555556,4,11,0.10558342933654785
iris,itc_alpha1.0_beta3.0_gamma0.2,1.0,3.0,0.2,0,0.8888888888888888,7,15,0.11268234252929688
iris,itc_alpha1.0_beta3.0_gamma0.2,1.0,3.0,0.2,1,0.9777777777777777,5,15,0.141157865524292
iris,itc_alpha1.0_beta3.0_gamma0.2,1.0,3.0,0.2,2,0.9555555555555556,4,11,0.10522198677062988
iris,itc_alpha1.0_beta3.0_gamma0.3,1.0,3.0,0.3,0,0.9333333333333333,6,15,0.10980749130249023
iris,itc_alpha1.0_beta3.0_gamma0.3,1.0,3.0,0.3,1,0.9777777777777777,5,15,0.12752652168273926
iris,itc_alpha1.0_beta3.0_gamma0.3,1.0,3.0,0.3,2,0.9555555555555556,5,15,0.1068727970123291
iris,itc_alpha1.0_beta3.0_gamma0.4,1.0,3.0,0.4,0,0.9333333333333333,6,15,0.09777116775512695
iris,itc_alpha1.0_beta3.0_gamma0.4,1.0,3.0,0.4,1,0.9555555555555556,6,19,0.12431049346923828
iris,itc_alpha1.0_beta3.0_gamma0.4,1.0,3.0,0.4,2,0.9555555555555556,4,13,0.09203720092773438
iris,itc_alpha1.0_beta3.0_gamma0.5,1.0,3.0,0.5,0,0.9333333333333333,6,15,0.09501290321350098
