metric,cohens_d_mean,cohens_d_std,effect_size,n_datasets
shannon,0.15416490030871702,0.4179342872094491,Negligible,7
misclassification,-0.5171295941236316,0.6469849310938308,Medium,7
renyi_0.5,0.2624547992923358,0.20124971865825383,Small,7
renyi_2.0,-0.45303819574124954,0.3023154255636933,Small,7
tsallis_0.5,0.45767303748205396,0.3099046622652352,Small,7
tsallis_1.3,-0.07486682894277097,0.2148274477729763,Negligible,7
tsallis_2.0,0.0,0.0,Negligible,7
norm_tsallis_1.3,-0.16770386224362532,0.28335538173479285,Negligible,7
kumaraswamy,-0.5858470643004566,0.6294686271618691,Medium,7
cross_entropy,-15.337691802058663,16.559053017257558,Large,7
kl_divergence,-29.08273153785209,20.05853552397823,Large,7
js_divergence,-29.08273153785209,20.05853552397823,Large,7
hellinger,-29.32497300121798,19.898882937531923,Large,7
energy,-28.82717904346507,20.16400329593871,Large,7
polarization_3.5,-5.235662254851261,4.073031942604224,Large,7
bregman_squared,-28.962702140799284,20.14365059136179,Large,7
bregman_entropy,-29.08273153785209,20.05853552397823,Large,7
itc,-0.34004837606541355,0.870964102280557,Small,7
itc_alpha1.3,-0.10438715430595147,0.7281036539081482,Negligible,7
itc_alpha1.7,-0.36135110030492706,0.7585737889987978,Small,7
shannon_polarization,0.16109359466502932,0.4136830092567057,Negligible,7
tsallis_hellinger,-0.1132592850116713,0.1764071885874286,Negligible,7
