dataset,metric,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std,tree_depth_mean,tree_depth_std,tree_size_mean,tree_size_std,training_time_mean,training_time_std
binary_balanced,bregman_entropy,0.5,0.0,18.0218,0.0,0.0,0.0,1.0,0.0,0.001,0.0007
binary_balanced,bregman_squared,0.5,0.0,18.0218,0.0,0.0,0.0,1.0,0.0,0.0013,0.0006
binary_balanced,cross_entropy,0.734,0.026,9.5876,0.9361,11.2,5.6303,26.2,14.8728,14.7076,6.1818
binary_balanced,energy,0.5,0.0,18.0218,0.0,0.0,0.0,1.0,0.0,0.0005,0.0
binary_balanced,gini,0.9607,0.0104,1.4177,0.3742,7.2,0.8367,42.2,3.3466,5.225,0.2509
binary_balanced,hellinger,0.5,0.0,18.0218,0.0,0.0,0.0,1.0,0.0,0.0005,0.0
binary_balanced,itc,0.956,0.0177,1.5859,0.638,11.0,1.8708,44.6,3.8471,9.0694,0.9017
binary_balanced,itc_alpha1.3,0.9587,0.0145,1.4898,0.5209,11.0,1.8708,42.6,5.8992,8.6808,0.7261
binary_balanced,itc_alpha1.7,0.956,0.0177,1.5859,0.638,11.0,1.8708,44.6,3.8471,8.9845,0.8224
binary_balanced,js_divergence,0.5,0.0,18.0218,0.0,0.0,0.0,1.0,0.0,0.0007,0.0003
binary_balanced,kl_divergence,0.5,0.0,18.0218,0.0,0.0,0.0,1.0,0.0,0.0009,0.0001
binary_balanced,kumaraswamy,0.9347,0.0243,2.3549,0.8771,7.0,1.2247,35.8,7.823,7.9338,0.6303
binary_balanced,misclassification,0.9367,0.0316,2.2828,1.1398,12.8,1.6432,73.0,11.9164,8.5757,0.7293
binary_balanced,norm_tsallis_1.3,0.9593,0.0083,1.4658,0.2992,7.4,0.5477,43.4,2.9665,6.0336,0.3976
binary_balanced,polarization_3.5,0.8893,0.039,3.9888,1.4073,16.6,3.4351,47.8,8.6718,10.4235,0.9727
binary_balanced,renyi_0.5,0.9633,0.0103,1.3216,0.3703,9.2,1.3038,40.6,3.2863,5.0169,0.2365
binary_balanced,renyi_2.0,0.9533,0.0225,1.682,0.8104,7.8,1.7889,46.2,4.1473,7.3795,0.6682
binary_balanced,shannon,0.9587,0.0096,1.4898,0.3461,7.4,0.5477,41.8,2.6833,5.3768,0.3431
binary_balanced,shannon_polarization,0.958,0.0146,1.5138,0.5278,11.2,1.4832,41.8,3.6332,8.6836,0.5289
binary_balanced,tsallis_0.5,0.9653,0.0154,1.2495,0.5545,8.6,1.5166,41.0,2.0,4.9444,0.1958
binary_balanced,tsallis_1.3,0.9587,0.009,1.4898,0.3246,7.4,0.5477,43.4,2.9665,6.0793,0.4154
binary_balanced,tsallis_2.0,0.9607,0.0104,1.4177,0.3742,7.2,0.8367,42.2,3.3466,6.4639,0.3413
binary_balanced,tsallis_hellinger,0.9593,0.0152,1.4658,0.5466,6.2,0.4472,34.6,2.1909,10.1693,1.0738
binary_imbalanced,bregman_entropy,0.8967,0.0,3.7245,0.0,12.0,1.0,25.0,2.0,27.1743,1.8276
binary_imbalanced,bregman_squared,0.8967,0.0,3.7245,0.0,12.0,1.0,25.0,2.0,18.893,1.2434
binary_imbalanced,cross_entropy,0.8967,0.0,3.7245,0.0,12.0,1.0,25.0,2.0,16.7629,1.0841
binary_imbalanced,energy,0.8967,0.0,3.7245,0.0,20.0,0.0,53.8,3.3466,22.1925,0.9263
binary_imbalanced,gini,0.932,0.0161,2.451,0.5799,10.0,0.7071,74.2,10.0598,9.7976,1.0909
binary_imbalanced,hellinger,0.8967,0.0,3.7245,0.0,12.0,1.0,25.0,2.0,17.735,1.0651
binary_imbalanced,itc,0.93,0.0196,2.5231,0.7057,20.0,0.0,51.0,6.1644,23.3774,1.6484
binary_imbalanced,itc_alpha1.3,0.9307,0.0196,2.499,0.7077,19.8,0.4472,57.4,9.6333,21.2121,2.4143
binary_imbalanced,itc_alpha1.7,0.9273,0.0155,2.6192,0.5597,20.0,0.0,50.6,4.3359,24.5122,0.9999
binary_imbalanced,js_divergence,0.8967,0.0,3.7245,0.0,12.0,1.0,25.0,2.0,20.5299,1.3837
binary_imbalanced,kl_divergence,0.8967,0.0,3.7245,0.0,12.0,1.0,25.0,2.0,16.9512,1.0937
binary_imbalanced,kumaraswamy,0.9193,0.0146,2.9075,0.5265,11.0,3.8079,39.4,12.2801,13.5323,3.126
binary_imbalanced,misclassification,0.916,0.0172,3.0277,0.6208,20.0,0.0,89.0,12.1655,17.1326,2.0128
binary_imbalanced,norm_tsallis_1.3,0.936,0.0148,2.3068,0.5333,10.2,1.4832,67.8,6.0992,9.2983,0.9496
binary_imbalanced,polarization_3.5,0.8967,0.0,3.7245,0.0,12.0,1.0,25.0,2.0,15.2992,1.021
binary_imbalanced,renyi_0.5,0.9333,0.0091,2.4029,0.329,12.2,1.0954,58.6,6.5422,6.4874,0.2108
binary_imbalanced,renyi_2.0,0.9273,0.0106,2.6192,0.3837,13.6,1.1402,83.4,6.0663,15.8542,1.6193
binary_imbalanced,shannon,0.936,0.0179,2.3068,0.6436,9.2,0.8367,58.2,7.0143,7.0867,0.7808
binary_imbalanced,shannon_polarization,0.9353,0.0154,2.3308,0.5545,13.6,1.1402,55.8,7.9498,12.2212,1.1769
binary_imbalanced,tsallis_0.5,0.9373,0.008,2.2587,0.2868,12.0,0.7071,58.6,5.8992,6.2013,0.1709
binary_imbalanced,tsallis_1.3,0.936,0.0148,2.3068,0.5333,10.2,1.4832,67.8,6.0992,9.4442,0.8831
binary_imbalanced,tsallis_2.0,0.932,0.0161,2.451,0.5799,10.0,0.7071,74.2,10.0598,11.9819,1.382
binary_imbalanced,tsallis_hellinger,0.934,0.0152,2.3789,0.5466,9.8,0.8367,61.0,9.2736,16.8552,1.0727
breast_cancer,bregman_entropy,0.6257,0.0,13.49,0.0,0.2,0.4472,1.4,0.8944,5.0586,1.8843
breast_cancer,bregman_squared,0.6257,0.0,13.49,0.0,0.2,0.4472,1.4,0.8944,3.5133,1.2856
breast_cancer,cross_entropy,0.7532,0.0387,8.895,1.3934,1.0,0.0,3.0,0.0,4.9306,0.1033
breast_cancer,energy,0.6152,0.0146,13.8694,0.5248,15.6,2.0736,55.0,16.4317,17.2616,2.5193
breast_cancer,gini,0.9275,0.0221,2.6137,0.7971,7.0,0.7071,35.0,3.7417,9.3364,0.8148
breast_cancer,hellinger,0.6257,0.0,13.49,0.0,0.2,0.4472,1.4,0.8944,3.3813,1.2113
breast_cancer,itc,0.9474,0.0131,1.897,0.4713,8.8,1.7889,31.8,3.3466,16.5402,1.7164
breast_cancer,itc_alpha1.3,0.9509,0.0121,1.7706,0.4371,9.0,2.1213,33.0,4.0,15.2687,0.6015
breast_cancer,itc_alpha1.7,0.9439,0.0106,2.0235,0.3829,9.6,1.1402,34.2,2.2804,18.2384,2.407
breast_cancer,js_divergence,0.6257,0.0,13.49,0.0,0.2,0.4472,1.4,0.8944,3.8747,1.3562
breast_cancer,kl_divergence,0.6257,0.0,13.49,0.0,0.2,0.4472,1.4,0.8944,3.2108,1.157
breast_cancer,kumaraswamy,0.9228,0.0347,2.7823,1.2506,5.6,0.5477,26.6,4.7749,11.2517,1.2813
breast_cancer,misclassification,0.9228,0.0157,2.7823,0.5656,8.2,1.6432,35.4,7.5366,11.142,1.0925
breast_cancer,norm_tsallis_1.3,0.9216,0.0098,2.8245,0.3527,5.6,0.5477,29.0,2.8284,8.7861,0.7111
breast_cancer,polarization_3.5,0.9146,0.0383,3.0774,1.379,9.2,3.9623,23.8,14.3248,15.9206,4.4324
breast_cancer,renyi_0.5,0.9415,0.0194,2.1078,0.6991,8.2,0.8367,26.2,5.4037,6.8154,0.2927
