alpha,beta,gamma,accuracy_mean,accuracy_std,tree_depth_mean,tree_depth_std,training_time_mean,training_time_std,composite_score
1.0,2.0,0.1,0.9056,0.0589,5.0,0.6325,0.6761,0.6164,0.866957
1.0,2.0,0.2,0.9154,0.0423,5.0,1.0954,0.643,0.5871,0.8718699999999999
1.0,2.0,0.3,0.9191,0.0428,6.0,1.2649,0.6459,0.5824,0.858263
1.0,2.0,0.4,0.9247,0.0363,5.8333,1.3292,0.601,0.5596,0.8643505
1.0,2.0,0.5,0.9185,0.0456,5.6667,1.0328,0.5582,0.5033,0.8656535
1.0,2.0,0.6,0.9407,0.0377,5.3333,0.8165,0.5076,0.4422,0.8810525
1.0,2.0,0.7,0.9377,0.0362,5.1667,0.9832,0.494,0.4302,0.8827595
1.0,2.5,0.1,0.9019,0.052,5.0,0.6325,0.6989,0.6542,0.864793
1.0,2.5,0.2,0.9222,0.0408,5.5,1.2247,0.6892,0.6531,0.865704
1.0,2.5,0.3,0.9284,0.041,5.6667,0.8165,0.6208,0.5885,0.8677355
1.0,2.5,0.4,0.9247,0.0363,5.8333,1.3292,0.5985,0.5622,0.8644255
1.0,2.5,0.5,0.937,0.0343,5.3333,0.8165,0.5486,0.4886,0.8783425
1.0,2.5,0.6,0.9407,0.0377,5.3333,0.8165,0.5083,0.4396,0.8810315
1.0,2.5,0.7,0.9407,0.0377,5.3333,0.8165,0.5094,0.4491,0.8809985
1.0,3.0,0.1,0.8926,0.0626,5.1667,0.7528,0.7218,0.6676,0.8578855
1.0,3.0,0.2,0.9148,0.0424,5.8333,1.3292,0.6856,0.6418,0.8578525
1.0,3.0,0.3,0.9253,0.0402,5.5,0.8367,0.6504,0.6139,0.8681080000000001
1.0,3.0,0.4,0.937,0.0343,5.3333,0.8165,0.5612,0.5104,0.8779645
1.0,3.0,0.5,0.937,0.0343,5.3333,0.8165,0.5567,0.5027,0.8780995
1.0,3.0,0.6,0.9407,0.0377,5.3333,0.8165,0.5276,0.468,0.8804525
1.0,3.0,0.7,0.9407,0.0377,5.3333,0.8165,0.5199,0.4521,0.8806835
1.0,3.5,0.1,0.9037,0.063,5.6667,1.0328,0.7395,0.6904,0.8542945
1.0,3.5,0.2,0.9086,0.0462,6.0,1.7889,0.7271,0.709,0.8516269999999999
1.0,3.5,0.3,0.9377,0.0362,5.6667,0.8165,0.5839,0.5282,0.8725624999999999
1.0,3.5,0.4,0.937,0.0343,5.3333,0.8165,0.5541,0.4969,0.8781775
1.0,3.5,0.5,0.937,0.0343,5.3333,0.8165,0.5569,0.5009,0.8780935000000001
1.0,3.5,0.6,0.9407,0.0377,5.3333,0.8165,0.5176,0.4508,0.8807525
1.0,3.5,0.7,0.9407,0.0377,5.3333,0.8165,0.516,0.4541,0.8808005
1.0,4.0,0.1,0.9037,0.063,5.6667,1.0328,0.7401,0.6941,0.8542765
1.0,4.0,0.2,0.9179,0.047,5.8333,1.7224,0.6929,0.6696,0.8588735000000001
1.0,4.0,0.3,0.9377,0.0362,5.6667,0.8165,0.603,0.5477,0.8719895
1.0,4.0,0.4,0.937,0.0343,5.3333,0.8165,0.5456,0.4811,0.8784325000000001
1.0,4.0,0.5,0.937,0.0343,5.3333,0.8165,0.5586,0.4943,0.8780425000000001
1.0,4.0,0.6,0.9407,0.0377,5.3333,0.8165,0.5159,0.4549,0.8808035
1.0,4.0,0.7,0.9407,0.0377,5.3333,0.8165,0.5059,0.4394,0.8811035
1.0,4.5,0.1,0.913,0.0501,5.8333,1.3292,0.7274,0.6749,0.8558785
1.0,4.5,0.2,0.9179,0.047,5.8333,1.7224,0.715,0.6953,0.8582105
1.0,4.5,0.3,0.9377,0.0362,5.6667,0.8165,0.5854,0.5275,0.8725175
1.0,4.5,0.4,0.937,0.0343,5.3333,0.8165,0.5517,0.4915,0.8782495000000001
1.0,4.5,0.5,0.937,0.0343,5.3333,0.8165,0.5139,0.4438,0.8793835000000001
1.0,4.5,0.6,0.9407,0.0377,5.3333,0.8165,0.5207,0.4516,0.8806594999999999
1.0,4.5,0.7,0.9407,0.0377,5.3333,0.8165,0.5191,0.4476,0.8807075
1.3,2.0,0.1,0.9019,0.052,4.8333,0.7528,0.6783,0.6268,0.8679115000000001
1.3,2.0,0.2,0.9154,0.0423,4.6667,0.5164,0.6082,0.5458,0.8779135
1.3,2.0,0.3,0.9154,0.0423,4.6667,0.5164,0.6172,0.5629,0.8776435
1.3,2.0,0.4,0.9154,0.0423,5.8333,1.3292,0.6157,0.5588,0.8601894999999999
1.3,2.0,0.5,0.9154,0.0374,6.0,1.4142,0.5969,0.5534,0.8582529999999999
1.3,2.0,0.6,0.9093,0.0449,5.5,1.0488,0.5359,0.4865,0.865143
1.3,2.0,0.7,0.9309,0.036,4.8333,0.9832,0.4644,0.3932,0.8859285
1.3,2.5,0.1,0.9019,0.052,4.8333,0.7528,0.6658,0.6148,0.8682865000000001
1.3,2.5,0.2,0.9111,0.046,5.0,0.6325,0.6581,0.5977,0.8696969999999999
1.3,2.5,0.3,0.9154,0.0423,5.0,1.0954,0.6286,0.5858,0.872302
1.3,2.5,0.4,0.9191,0.0428,6.0,1.2649,0.6211,0.567,0.8590070000000001
1.3,2.5,0.5,0.9247,0.0363,5.8333,1.3292,0.6028,0.5678,0.8642965
1.3,2.5,0.6,0.9278,0.039,5.1667,0.7528,0.5368,0.4861,0.8775154999999999
1.3,2.5,0.7,0.9309,0.036,5.0,0.8944,0.5351,0.4804,0.8813070000000001
1.3,3.0,0.1,0.8907,0.0474,5.0,0.6325,0.6992,0.6486,0.860304
1.3,3.0,0.2,0.9111,0.046,5.0,0.6325,0.6373,0.58,0.8703209999999999
1.3,3.0,0.3,0.9154,0.0423,5.0,1.0954,0.6605,0.6183,0.871345
1.3,3.0,0.4,0.9284,0.041,5.6667,0.8165,0.6344,0.5893,0.8673275
1.3,3.0,0.5,0.9247,0.0363,5.8333,1.3292,0.5851,0.5399,0.8648275
1.3,3.0,0.6,0.937,0.0343,5.3333,0.8165,0.5546,0.5032,0.8781625000000001
1.3,3.0,0.7,0.9309,0.036,5.0,0.8944,0.5194,0.467,0.881778
1.3,3.5,0.1,0.9019,0.0594,5.0,0.6325,0.696,0.6332,0.8648800000000001
